trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,12,-16.851283239158715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,8,-11.290195308716081,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,13,24.246680511050837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",25,0,-4.794962078776395,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",25,14,21.107785794617193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",25,4,13.646677448685146,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",30,18,-52.407958249295945,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",30,6,0.9316052527421199,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",25,15,2.4512133321969922,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",25,7,-20.661720423531964,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,0,-2.473605163283433,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,15,4.444591188408955,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",35,0,-17.791787092569578,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,5,12.89486167344402,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",35,15,-13.35846175410105,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,20,5.929959137604971,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",25,17,15.066815290824646,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,11,6.329254502664279,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",30,0,-14.042692006892267,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.173989828476264}",25,13,-38.905668504138575,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",25,14,10.628228075958345,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,2,14.454132239446318,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",25,0,23.845770229377862,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",25,0,25.672252812137764,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,0,-1.7598098235762298,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,16,8.39262330531714,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",25,15,5.307835316375332,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",25,19,6.620198288897482,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",20,6,25.45936223032239,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",25,11,26.441622288669087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",25,11,12.067124802467134,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1542219517938446}",20,14,10.87043322779992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",20,6,21.903077727657806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",30,18,21.57473392378744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",20,10,19.36130136848766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",25,5,27.435208899411275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",20,11,16.017421229799393,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",25,14,11.124726349879994,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,14,14.11890529699043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",30,1,39.02682871009574,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",35,15,20.04387077692575,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,18,12.906101597854967,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",25,17,13.291980271411148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.136700004956598}",20,13,14.018909375074623,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",25,15,9.138678298648035,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",30,16,16.450577362442907,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",20,0,20.865153166950584,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",20,15,3.1621940126704775,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",25,10,26.283188511786015,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,3,-10.750577310501283,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",25,11,-6.989841870739132,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",20,15,8.421264351104764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,9,19.256790143800675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
