trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
229,False,"{'a': 0.5, 'e': 0.10010587426148955}",20,1,28.56424545859786,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,10,7.1887578753618735,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.0981137673636859}",30,0,7.015083930608274,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.09713262969004904}",25,0,18.87170393584369,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.09616130339314856}",20,0,-14.189062211168267,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
234,False,"{'a': 0.5, 'e': 0.09519969035921708}",35,23,20.554167090006775,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,7,22.247942211456994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106866}",25,0,25.163258424833124,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.09237216435585796}",20,9,-5.202291464256134,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229938}",20,2,-36.16421681044146,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
239,False,"{'a': 0.5, 'e': 0.0905339582851764}",30,13,-1.664284227588893,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232462}",20,6,20.947782381151452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530138}",20,13,13.617260633027755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
